year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2013,178,Congo,0.6,1629.37,2
2013,24,Angola,0.555,2541.71,2
2013,368,Iraq,0.648,2538.39,2
2013,566,Nigeria,0.504,438.3,2
2013,887,Yemen,0.496,219.98,2
2014,24,Angola,0.565,2110.99,2
2014,178,Congo,0.609,804.83,2
2014,368,Iraq,0.651,2309.43,2
2014,566,Nigeria,0.513,502.8,2
2015,24,Angola,0.591,1132.72,2
2015,178,Congo,0.61,528.76,2
2015,566,Nigeria,0.52,223.21,2
2016,24,Angola,0.595,891.26,2
2016,178,Congo,0.606,294.85,2
2017,24,Angola,0.597,1093.17,2
2017,178,Congo,0.6,687.12,2
2017,566,Nigeria,0.528,213.24,2
2018,24,Angola,0.598,1243.08,2
2018,178,Congo,0.603,1672.66,2
2018,566,Nigeria,0.53,286.56,2
2019,24,Angola,0.597,1031.26,2
2019,178,Congo,0.596,833.31,2
2019,566,Nigeria,0.537,222.78,2
2019,598,Papua New Guinea,0.562,446.29,2
2020,24,Angola,0.594,588.56,2
2020,178,Congo,0.598,638.87,2
2020,598,Papua New Guinea,0.567,447.99,2
