year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster,ratio
2013,233,Estonia,0.881000,1430.480000,2,1623.700341
2013,300,Greece,0.874000,1318.800000,2,1508.924485
2013,410,"Korea, Republic of",0.902000,1073.050000,2,1189.634146
2013,440,Lithuania,0.858000,2538.140000,2,2958.205128
2013,470,Malta,0.874000,5201.460000,2,5951.327231
2014,233,Estonia,0.879000,1478.640000,2,1682.184300
2014,300,Greece,0.879000,1262.150000,2,1435.893060
2014,410,"Korea, Republic of",0.906000,1037.920000,2,1145.607064
2014,440,Lithuania,0.864000,1938.570000,2,2243.715278
2014,470,Malta,0.881000,4935.680000,2,5602.360953
2015,48,Bahrain,0.859000,3772.650000,2,4391.909197
2015,233,Estonia,0.883000,1169.760000,2,1324.756512
2015,440,Lithuania,0.865000,1426.000000,2,1648.554913
2015,470,Malta,0.887000,3389.000000,2,3820.744081
2015,682,Saudi Arabia,0.842000,5131.410000,2,6094.311164
2015,784,United Arab Emirates,0.860000,7348.830000,2,8545.151163
2016,48,Bahrain,0.862000,2732.990000,2,3170.522042
2016,440,Lithuania,0.870000,1200.560000,2,1379.954023
2016,470,Malta,0.887000,2254.170000,2,2541.341601
2016,512,Oman,0.832000,5230.180000,2,6286.274038
2016,682,Saudi Arabia,0.846000,4393.590000,2,5193.368794
2016,784,United Arab Emirates,0.866000,5322.150000,2,6145.669746
2017,48,Bahrain,0.867000,3708.620000,2,4277.531719
2017,233,Estonia,0.886000,1163.960000,2,1313.724605
2017,440,Lithuania,0.878000,1528.460000,2,1740.842825
2017,470,Malta,0.896000,3299.090000,2,3682.020089
2017,512,Oman,0.833000,4843.720000,2,5814.789916
2017,682,Saudi Arabia,0.849000,5487.880000,2,6463.934040
2017,784,United Arab Emirates,0.898000,6840.620000,2,7617.616927
2018,48,Bahrain,0.880000,4607.050000,2,5235.284091
2018,233,Estonia,0.890000,1987.520000,2,2233.168539
2018,300,Greece,0.886000,1263.050000,2,1425.564334
2018,440,Lithuania,0.882000,1728.250000,2,1959.467120
2018,470,Malta,0.903000,2478.340000,2,2744.562569
2018,512,Oman,0.838000,6299.130000,2,7516.861575
2018,643,Russian Federation,0.836000,1636.890000,2,1958.002392
2018,682,Saudi Arabia,0.856000,7683.070000,2,8975.549065
2019,48,Bahrain,0.888000,4024.820000,2,4532.454955
2019,233,Estonia,0.893000,1524.100000,2,1706.718925
2019,300,Greece,0.890000,1114.880000,2,1252.674157
2019,440,Lithuania,0.886000,1550.270000,2,1749.740406
2019,470,Malta,0.905000,2371.380000,2,2620.309392
2019,512,Oman,0.841000,5831.730000,2,6934.280618
2019,643,Russian Federation,0.839000,1526.260000,2,1819.141836
2019,682,Saudi Arabia,0.862000,6652.520000,2,7717.540603
2020,48,Bahrain,0.884000,2341.300000,2,2648.529412
2020,233,Estonia,0.891000,1363.260000,2,1530.033670
2020,682,Saudi Arabia,0.861000,4183.500000,2,4858.885017
